科目分類,貸借区分,連結科目コード,連結科目名（日）,連結科目名（英）,換算区分,金額区分,備考,設定日時,最終更新日時
固定資産,借方,121940,減価償却累計額,Accumulated depreciation,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定資産,借方,121950,建設仮勘定,Construction in progress,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定資産,借方,123100,電話加入権,Telephone subscription right,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定資産,借方,123200,ソフトウェア,Software,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定資産,借方,123210,ソフトウェア仮勘定,Software in progress,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定資産,借方,123300,借地権,Leasehold interests in land,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定資産,借方,123400,公共施設負担金,Right of using public facilities,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定資産,借方,123500,無形固定資産(その他),Other - IA,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定資産,借方,123900,のれん,Goodwill,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定資産,借方,124100,投資有価証券,Investment securities,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定資産,借方,124150,関係会社株式,Shares of subsidiaries and associates,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定資産,借方,124200,出資金,Investments in capital,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定資産,借方,124300,長期貸付金,Long-term loans receivable,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定資産,借方,124350,関係会社長期貸付金,Long-term loans receivable from subsidiaries and associates,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定資産,借方,124400,長期前払費用,Long-term prepaid expenses,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定資産,借方,124500,敷金,Leasehold deposits - IOA,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定資産,借方,124600,差入保証金,Guarantee deposits,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定資産,借方,124700,預託金,Long-term deposit,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定資産,借方,124800,繰延税金資産(固),Deferred tax assets - IOA,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定資産,借方,124900,投資資産(その他),Other-IOA,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定資産,借方,124950,貸倒引当金(固),Allowance for doubtful accounts-IOA,CR,-,,2023/12/21 16:57,2023/12/21 16:57
固定資産,借方,125100,創立費,Deferred organization expenses,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定資産,借方,125200,開業費,Business commencement expenses,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定資産,借方,9999,testJP,testEN,HR,-,testDes,2024/2/18 16:18,2024/2/18 16:18
流動負債,貸方,211100,支払手形,Notes payable-trade,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動負債,貸方,211200,買掛金,Accounts payable-trade,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動負債,貸方,211250,関係会社買掛金,Accounts payable from subsidiaries and affiliates-trade,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動負債,貸方,211300,契約負債,Contract liabilities,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動負債,貸方,211900,支払手形及び買掛金,Notes and accounts payable-trade,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動負債,貸方,212100,短期借入金,Short-term borrowings,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動負債,貸方,212110,1年内返済予定の長期借入金,Current portion of long-term borrowings,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動負債,貸方,212150,関係会社短期借入金,Short-term borrowings from subsidiaries and associates,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動負債,貸方,212200,未払金,Accounts payable-other,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動負債,貸方,212250,関係会社未払金,Accounts payable from subsidiaries and associates-other,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動負債,貸方,212310,未払費用,Accrued expenses,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動負債,貸方,212320,前受金,Advances received,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動負債,貸方,212325,前受収益,Unearned revenue,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動負債,貸方,212330,預り金,Deposits received,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動負債,貸方,212340,仮受金,Suspense receipt,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動負債,貸方,212350,繰延税金負債(流),Deferred tax liabilities - CL,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動負債,貸方,212360,預り保証金,Guarantee deposits received,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動負債,貸方,212370,未払消費税,Consumption taxes payable,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動負債,貸方,212380,未払法人税等,Income taxes payable,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動負債,貸方,212390,保証金・敷金,Leasehold and guarantee deposits,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動負債,貸方,212400,商品券,Gift certificates,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動負債,貸方,212410,仮受消費税,Suspense receipt of consumption taxes,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動負債,貸方,212500,資産除去債務(流),Asset retirement obligations - CL,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動負債,貸方,212600,リース債務(流),Lease obligations - CL,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動負債,貸方,212900,流動負債(その他),Other - CL,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定負債,貸方,221100,長期借入金,Long-term borrowings,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定負債,貸方,221150,関係会社長期借入金,Long-term borrowings from subsidiaries and associates,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定負債,貸方,221200,繰延税金負債(固),Deferred tax liabilities - LL,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定負債,貸方,221400,退職給付引当金,Provision for retirement benefits -LL,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定負債,貸方,221410,退職給付に係る負債,Retirement benefit liability,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定負債,貸方,221500,資産除去債務(固),Asset retirement obligations - LL,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定負債,貸方,221600,リース債務(固),Lease obligations - LL,CR,+,,2023/12/21 16:57,2023/12/21 16:57
固定負債,貸方,221900,固定負債(その他),Other-LL,CR,+,,2023/12/21 16:57,2023/12/21 16:57
資本金,貸方,311000,資本金,Share capital,HR,+,,2023/12/21 16:57,2023/12/21 16:57
資本金,貸方,312000,新株式申込証拠金,Deposit for subscriptions to shares,HR,+,,2023/12/21 16:57,2023/12/21 16:57
資本剰余金,貸方,323000,資本剰余金,Capital surplus,HR,+,,2023/12/21 16:57,2023/12/21 16:57
利益剰余金,貸方,333000,期首利益剰余金,Retained earnings brought forward,HR,+,,2023/12/21 16:57,2023/12/21 16:57
利益剰余金,貸方,333100,期首利益剰余金調整額,Retained earnings brought forward adjustment,CR,+,,2023/12/21 16:57,2023/12/21 16:57
利益剰余金,貸方,333200,支払配当金,Dividends,HR,-,,2023/12/21 16:57,2023/12/21 16:57
利益剰余金,貸方,333300,当期純利益(BS),Profit - BS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
利益剰余金,貸方,333400,Pi Account,Pi Account,AR,+,,2024/3/31 01:55,2024/4/1 01:07
利益剰余金,貸方,333900,その他利益剰余金変動額,Other changes - RE,AR,+,,2023/12/21 16:57,2023/12/21 16:57
自己株式,貸方,341000,自己株式,Treasury shares,HR,-,,2023/12/21 16:57,2023/12/21 16:57
自己株式,貸方,342000,自己株式申込証拠金,Deposit for subscriptions to treasury shares,HR,-,,2023/12/21 16:57,2023/12/21 16:57
その他の包括利益累計額,貸方,351100,その他有価証券評価差額金,Valuation difference on available-for-sale securities,CR,+,,2023/12/21 16:57,2023/12/21 16:57
その他の包括利益累計額,貸方,351200,繰延ヘッジ損益,Deferred gains or losses on hedges,CR,+,,2023/12/21 16:57,2023/12/21 16:57
その他の包括利益累計額,貸方,351300,土地再評価差額金,Revaluation reserve for land,CR,+,,2023/12/21 16:57,2023/12/21 16:57
その他の包括利益累計額,貸方,351400,為替換算調整勘定,Foreign currency translation adjustment,CR,+,,2023/12/21 16:57,2023/12/21 16:57
その他の包括利益累計額,貸方,351500,退職給付に係る調整累計額,Remeasurements of defined benefit plans,CR,+,,2023/12/21 16:57,2023/12/21 16:57
新株予約権,貸方,361000,新株予約権,Share acquisition rights,HR,+,,2023/12/21 16:57,2023/12/21 16:57
非支配株主持分,貸方,391000,非支配株主持分,Non-controlling interests,CR,-,,2023/12/21 16:57,2023/12/21 16:57
売上高,貸方,410000,売上高,Net sales,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上高,貸方,411000,売上値引・返品,Sales allowance and returns,AR,-,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,420000,売上原価,Cost of sales - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,421100,期首商品棚卸高,Beginning merchandise inventory - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,421200,期首製品棚卸高,Beginning finished goods inventory - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,422000,仕入高,Cost of purchased goods - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,422100,仕入値引・返品,Purchase allowance and returns - COS,AR,-,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,423000,他勘定振替高,Goods transfer to other account - COS,AR,-,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,424100,期末商品棚卸高,Ending merchandise inventory - COS,AR,-,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,424200,期末製品棚卸高,Ending finished goods inventory - COS,AR,-,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,431100,期首材料棚卸高(製),Beginning raw materials - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,432000,材料仕入高(製),Cost of raw materials - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,432100,材料仕入値引・返品(製),Cost of raw materials allowance and returns - COS,AR,-,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,433100,期末材料棚卸高(製),Ending raw materials - COS,AR,-,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,441300,給料賃金(製),Salaries and wages - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,441400,賞与(製),Bonuses - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,441500,雑給(製),Other salaries - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,441600,退職給与(製),Retirement payments - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,441700,法定福利費(製),Legal welfare expenses - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
